scop_id,pdb_id,scop_class,hierarchy,superfamily
d1baba_,1bab,a,a.1.1.2,a.1.1
d2wdqf2,2wdq,a,a.1.2.1,a.1.2
d2erla_,2erl,a,a.10.1.1,a.10.1
d1x9ba_,1x9b,a,a.10.2.1,a.10.2
d6sm7b2,6sm7,a,a.100.1.0,a.100.1
d2utga_,2utg,a,a.101.1.1,a.101.1
d2ahga_,2ahg,a,a.102.1.7,a.102.1
d1hcub_,1hcu,a,a.102.2.1,a.102.2
d3ew4b1,3ew4,a,a.102.3.1,a.102.3
d1tnzl_,1tnz,a,a.102.4.3,a.102.4
d1gxma1,1gxm,a,a.102.5.1,a.102.5
d2g0da_,2g0d,a,a.102.6.1,a.102.6
d6bome_,6bom,a,a.103.1.0,a.103.1
d5jque_,5jqu,a,a.104.1.1,a.104.1
d1zawv1,1zaw,a,a.108.1.1,a.108.1
d1iiec_,1iie,a,a.109.1.1,a.109.1
d2fj9a_,2fj9,a,a.11.1.1,a.11.1
d4zrib2,4zri,a,a.11.2.0,a.11.2
d1b25d1,1b25,a,a.110.1.1,a.110.1
d1qhbc_,1qhb,a,a.111.1.2,a.111.1
d1w7ab1,1w7a,a,a.113.1.1,a.113.1
d7e58a2,7e58,a,a.114.1.0,a.114.1
d3j9sa1,3j9s,a,a.115.1.2,a.115.1
d1ow3a_,1ow3,a,a.116.1.1,a.116.1
d6sfrb_,6sfr,a,a.117.1.1,a.117.1
d3ouwa_,3ouw,a,a.118.1.1,a.118.1
d7d5we_,7d5w,a,a.118.11.1,a.118.11
d3uinc_,3uin,a,a.118.12.1,a.118.12
d2p9sg_,2p9s,a,a.118.13.1,a.118.13
d3pkra_,3pkr,a,a.118.14.0,a.118.14
d1l5jb1,1l5j,a,a.118.15.1,a.118.15
d1keya_,1key,a,a.118.16.1,a.118.16
d2wzka1,2wzk,a,a.118.17.0,a.118.17
d1ouva1,1ouv,a,a.118.18.1,a.118.18
d1q2za_,1q2z,a,a.118.19.1,a.118.19
d1wy6a_,1wy6,a,a.118.20.1,a.118.20
d1n8ua_,1n8u,a,a.118.21.1,a.118.21
d1n4ka1,1n4k,a,a.118.22.1,a.118.22
d2a9ua1,2a9u,a,a.118.23.1,a.118.23
d2ajab_,2aja,a,a.118.24.1,a.118.24
d1yvpb1,1yvp,a,a.118.25.1,a.118.25
d5x9gd1,5x9g,a,a.118.26.0,a.118.26
d4lx1b_,4lx1,a,a.118.27.1,a.118.27
d4cr2z2,4cr2,a,a.118.28.1,a.118.28
d5qz8b2,5qz8,a,a.118.29.1,a.118.29
d3l8na_,3l8n,a,a.118.3.0,a.118.3
d5f5tb_,5f5t,a,a.118.30.1,a.118.30
d1lsha1,1lsh,a,a.118.4.1,a.118.4
d1qsaa1,1qsa,a,a.118.5.1,a.118.5
